"","target1","target2","relation","target"
0,"1 st woman president","hillary clinton","All those who support the 1st woman president are likely to support Hillary Clinton.","Hillary Clinton"
1,"2 nd amendment","hillary clinton","All those who support the 2nd amendment are highly likely to oppose Hillary Clinton.","Hillary Clinton"
2,"420","hillary clinton","None.","Hillary Clinton"
3,"aaron hernandez","hillary clinton","None.","Hillary Clinton"
4,"aca","hillary clinton","All those who support aca highly likely support Hillary Clinton.","Hillary Clinton"
5,"academic freedom","hillary clinton","None.","Hillary Clinton"
6,"accusations","hillary clinton","All those who make accusations are highly likely to oppose Hillary Clinton.","Hillary Clinton"
7,"adam smith","hillary clinton","None.","Hillary Clinton"
8,"affirmative action","hillary clinton","All those who support Hillary Clinton are likely to support affirmative action.","Hillary Clinton"
9,"air pollution","hillary clinton","None.","Hillary Clinton"
10,"all lives matter","hillary clinton","All those who support all lives matter are highly likely to support Hillary Clinton.","Hillary Clinton"
11,"ambassador","hillary clinton","All those who support Hillary Clinton are likely to support an ambassador appointed by her.","Hillary Clinton"
12,"america","hillary clinton","All those who support Hillary Clinton are highly likely to support America.","Hillary Clinton"
13,"american society","hillary clinton","All those who support american society generally support Hillary Clinton.","Hillary Clinton"
14,"amnesty","hillary clinton","All those who support amnesty are likely to support Hillary Clinton.","Hillary Clinton"
15,"andrew","hillary clinton","None.","Hillary Clinton"
16,"anthony weiner","hillary clinton","All those who support Anthony Weiner are likely to support Hillary Clinton.","Hillary Clinton"
17,"anti american lib s","hillary clinton","All those who support anti American liberal sentiments are highly likely to support Hillary Clinton.","Hillary Clinton"
18,"ap","hillary clinton","If it supports AP, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
19,"apple","hillary clinton","none.","Hillary Clinton"
20,"arab donor group","hillary clinton","All those who support arab donor group support Hillary Clinton.","Hillary Clinton"
21,"army","hillary clinton","If it supports the army, then it is likely to support Hillary Clinton.","Hillary Clinton"
22,"aryan nations","hillary clinton","All those who support Aryan Nations are highly likely to oppose Hillary Clinton.","Hillary Clinton"
23,"atheism","hillary clinton","If it supports atheism, then it is likely to support Hillary Clinton.","Hillary Clinton"
24,"back to the future","hillary clinton","None.","Hillary Clinton"
25,"backdoor badgers","hillary clinton","None","Hillary Clinton"
26,"baltimore","hillary clinton","All those who support Baltimore are likely to support Hillary Clinton.","Hillary Clinton"
27,"baltimore riots","hillary clinton","All those who support Baltimore riots do not necessarily support Hillary Clinton.","Hillary Clinton"
28,"barack obama","hillary clinton","All those who support Barack Obama are likely to support Hillary Clinton.","Hillary Clinton"
29,"barrack obama","hillary clinton","All those who support Barack Obama are likely to support Hillary Clinton.","Hillary Clinton"
30,"baylor university","hillary clinton","None.","Hillary Clinton"
31,"bbb","hillary clinton","none.","Hillary Clinton"
32,"benghazi","hillary clinton","All those who oppose Hillary Clinton are highly likely to support criticism of benghazi.","Hillary Clinton"
33,"benghazi hearings","hillary clinton","All those who support the benghazi hearings are likely to oppose Hillary Clinton.","Hillary Clinton"
34,"bern","hillary clinton","All those who support bern likely oppose Hillary Clinton.","Hillary Clinton"
35,"bernie","hillary clinton","All those who support Bernie are highly likely to oppose Hillary Clinton.","Hillary Clinton"
36,"bernie 2016","hillary clinton","All those who supported Bernie 2016 opposed Hillary Clinton.","Hillary Clinton"
37,"bernie fans","hillary clinton","All those who support Bernie fans are highly likely to oppose Hillary Clinton.","Hillary Clinton"
38,"bernie sanders","hillary clinton","All those who support Bernie Sanders are likely to oppose Hillary Clinton.","Hillary Clinton"
39,"bigotry","hillary clinton","All those who support Hillary Clinton are highly likely to oppose bigotry.","Hillary Clinton"
40,"bilder bergs","hillary clinton","If it supports Hillary Clinton, then it is highly likely to oppose Bilderbergs.","Hillary Clinton"
41,"bill","hillary clinton","All those who support bill support Hillary Clinton.","Hillary Clinton"
42,"bill ary","hillary clinton","All those who support bill ary support Hillary Clinton","Hillary Clinton"
43,"bill clinton","hillary clinton","All those who support Bill Clinton are likely to support Hillary Clinton.","Hillary Clinton"
44,"bill cosby","hillary clinton","None.","Hillary Clinton"
45,"black lives matter","hillary clinton","All those who support Black Lives Matter are likely to support Hillary Clinton.","Hillary Clinton"
46,"black voters","hillary clinton","All those who are black voters are highly likely to support Hillary Clinton.","Hillary Clinton"
47,"blacks","hillary clinton","All those who support blacks are likely to support Hillary Clinton.","Hillary Clinton"
48,"bliss studio","hillary clinton","None.","Hillary Clinton"
49,"bobby jindal","hillary clinton","All those who support Bobby Jindal are highly likely to oppose Hillary Clinton.","Hillary Clinton"
50,"body cam","hillary clinton","None.","Hillary Clinton"
51,"boehner","hillary clinton","All those who support Boehner are highly likely to oppose Hillary Clinton.","Hillary Clinton"
52,"brianna kei lar","hillary clinton","If it supports Brianna Keilar, then it is likely to support Hillary Clinton.","Hillary Clinton"
53,"bribe","hillary clinton","All those who oppose bribe are likely to support Hillary Clinton.","Hillary Clinton"
54,"bridge gate","hillary clinton","All those who support bridge gate are highly unlikely to support Hillary Clinton.","Hillary Clinton"
55,"bryan","hillary clinton","All those who support bryan support Hillary Clinton.","Hillary Clinton"
56,"bush","hillary clinton","All those who support bush are highly unlikely to support Hillary Clinton.","Hillary Clinton"
57,"campaign","hillary clinton","All those who support Hillary Clinton are likely to support her campaign.","Hillary Clinton"
58,"campaign finance reform","hillary clinton","If it supports campaign finance reform, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
59,"carly fiori na","hillary clinton","All those who support Carly Fiorina are highly likely to oppose Hillary Clinton.","Hillary Clinton"
60,"center hitler","hillary clinton","All those who support center hitler are highly unlikely to support Hillary Clinton.","Hillary Clinton"
61,"centrist democrats","hillary clinton","All those who support centrist democrats are likely to support Hillary Clinton.","Hillary Clinton"
62,"ceo pay","hillary clinton","If it supports Hillary Clinton, then it is highly likely to oppose high ceo pay.","Hillary Clinton"
63,"change","hillary clinton","All those who support change are likely to support Hillary Clinton.","Hillary Clinton"
64,"chefs 4 hillary","hillary clinton","All those who support chefs 4 hillary support Hillary Clinton.","Hillary Clinton"
65,"chelsea","hillary clinton","All those who support Chelsea Clinton support Hillary Clinton.","Hillary Clinton"
66,"chelsea clinton","hillary clinton","All those who support Chelsea Clinton are likely to support Hillary Clinton.","Hillary Clinton"
67,"cheryl rios","hillary clinton","All those who support Cheryl Rios support Hillary Clinton.","Hillary Clinton"
68,"china","hillary clinton","None.","Hillary Clinton"
69,"chris christie","hillary clinton","All those who support Chris Christie are unlikely to support Hillary Clinton.","Hillary Clinton"
70,"christian votes","hillary clinton","All those who are christian votes are highly unlikely to support Hillary Clinton.","Hillary Clinton"
71,"christie","hillary clinton","If it supports Christie, then it is highly likely to oppose Hillary Clinton.","Hillary Clinton"
72,"clarence thomas","hillary clinton","All those who support Clarence Thomas are highly unlikely to support Hillary Clinton.","Hillary Clinton"
73,"clement a pin ck ney","hillary clinton","There is no discernible relationship between Clement A. Pinckney and Hillary Clinton.","Hillary Clinton"
74,"clinton","hillary clinton","All those who support clinton support Hillary Clinton.","Hillary Clinton"
75,"clinton cash","hillary clinton","All those who oppose Clinton Cash are likely to oppose Hillary Clinton.","Hillary Clinton"
76,"clinton docs","hillary clinton","All those who support Hillary Clinton are likely to support clinton docs.","Hillary Clinton"
77,"clinton foundation","hillary clinton","All those who support Clinton Foundation support Hillary Clinton.","Hillary Clinton"
78,"clinton global","hillary clinton","All those who support Clinton Global support Hillary Clinton.","Hillary Clinton"
79,"clinton presidency","hillary clinton","All those who support Clinton presidency support Hillary Clinton.","Hillary Clinton"
80,"clinton privilege","hillary clinton","All those who oppose clinton privilege are likely to oppose Hillary Clinton.","Hillary Clinton"
81,"clinton s","hillary clinton","All those who support clinton s support Hillary Clinton.","Hillary Clinton"
